timestamp,rotationRateX,rotationRateY,rotationRateZ,userAccelerationX,userAccelerationY,userAccelerationZ
645.0207,0.110958286,-1.1663836,1.6617423,0.17367303,0.10949693,0.8007413
645.0615,3.1440718,-0.7556455,1.8486315,0.10345572,0.5872125,0.35278958
645.1118,3.9571235,0.07716184,2.5075736,-0.34549862,1.3886192,-0.23881465
645.16235,2.9529886,0.48212823,1.4183006,-0.65326995,1.0658418,-0.2907883
645.21216,3.007944,0.5747985,0.9521638,-0.01952517,0.86012095,-0.12811828
645.26245,2.3405333,-7.23463e-07,0.1537729,0.4569395,0.22459039,0.11010808
645.31274,2.454745,-0.40721843,0.23316982,0.68975425,-0.19828248,0.5132597
645.36285,3.1101189,-0.3026153,0.78238755,0.5292868,-0.17790136,0.94976467
645.413,5.132607,-0.22651483,0.75151235,0.243622,0.29789162,0.51867336
645.4633,2.6193907,-0.45256618,1.0187911,0.26474452,0.08771974,0.6485774
645.5137,5.064933,-0.15205044,1.6249702,0.075321674,-0.29210246,0.46472704
645.5842,8.636654,-5.3636346,-7.4287353,2.649921,-4.8971224,1.0613025
645.6139,-8.761439,-12.407572,-10.945896,-8.356534,8.409209,-2.9210756
645.66425,-19.60942,-5.727964,0.3379729,3.4176903,-6.9520793,8.504275
645.7143,8.409833,-1.9024539,-0.5761175,-3.2558622,3.4378815,-2.426343
645.7646,10.178951,-4.9826136,-0.11930625,-3.857973,2.2363138,-0.28090328
645.8149,1.9582013,-4.065352,-0.74564564,-2.1621256,1.769121,-1.3078166
645.8968,-1.0755776,-3.947398,-2.0811048,-1.3487368,1.5055346,-1.1365685
645.9152,-5.708617,-5.488146,-2.2177634,-1.0031981,1.541941,-0.56094474
645.9655,-5.031313,-4.8240876,-2.3293202,-0.707222,1.4792576,-0.7434248
646.0157,-5.3260217,-3.3228114,-2.1810136,0.4013201,0.30980897,-0.74385464
646.0659,-2.7085078,-2.0946162,1.4405003,-0.053503692,2.1748543,0.122274935
646.11615,-0.5822879,1.1963698,-0.8212978,0.619696,0.29117817,0.07674281
646.1664,-1.3694727,1.8477587,-0.33636048,0.66119295,0.5013974,0.29236656
646.21655,-1.9545734,1.5593101,0.6604494,-0.044930637,0.52298415,0.08420333
